gutenberg_id	updated	repo_name	repo_owner	datebuilt	version	ebooks_in_release_count	last_build_id	last_build_state	buildable	has_metadata	has_source	metadata_written
10	2016-08-07T14:29:22.742407-07:00	The-King-James-Version-of-the-Bible_10	GITenberg	2016-08-05T17:20:56.364898-07:00	0.1.0	3	150194217	passed	True	True	True	2016-08-04T08:54:32.189130-07:00
11	2016-08-03T18:44:21.675340-07:00	Alice-s-Adventures-in-Wonderland_11	GITenberg	2016-07-27T18:06:59Z	0.1.0	3	147826016	passed	True	True	True	2016-08-03T18:44:21.675239-07:00
12	2016-08-03T18:44:21.675395-07:00	Through-the-Looking-Glass_12	GITenberg	2016-07-27T20:49:27Z	0.2.1	3	147866159	passed	True	True	True	2016-08-03T18:44:21.675371-07:00
13	2016-08-07T14:30:04.823847-07:00	The-Hunting-of-the-Snark--An-Agony-in-Eight-Fits_13	GITenberg	2016-08-05T17:44:48.968469-07:00	0.1.0	3	150199412	passed	True	True	True	2016-08-04T08:54:34.503391-07:00
14	2016-08-07T14:30:08.419437-07:00	The-1990-CIA-World-Factbook_14	GITenberg	2016-08-05T17:45:25.024501-07:00	0.1.0	3	150199569	passed	True	True	True	2016-08-04T08:55:28.859000-07:00
15	2016-08-07T14:30:36.906583-07:00	Moby-Dick_15	GITenberg	2016-08-05T17:45:31.766730-07:00	0.1.0	3	150199551	passed	True	True	True	2016-08-04T08:55:32.446587-07:00
16	2016-08-07T14:30:40.180176-07:00	Peter-Pan_16	GITenberg	2016-08-05T17:45:38.615496-07:00	0.1.0	3	150199561	passed	True	True	True	2016-08-04T08:55:37.478789-07:00
17	2016-08-07T14:30:42.765766-07:00	The-Book-of-Mormon--13-An-Account-Written-by-the-Hand-of-Mormon-Upon-Plates-Taken-from-the-Plate__17	GITenberg	2016-08-05T17:45:49.520665-07:00	0.1.0	3	150199605	passed	True	True	True	2016-08-04T08:55:39.835079-07:00
18	2016-08-07T14:30:45.563974-07:00	The-Federalist-Papers_18	GITenberg	2016-08-05T18:31:22.433218-07:00	0.1.0	3	150206567	passed	True	True	True	2016-08-04T08:55:41.937312-07:00
19	2016-08-03T18:44:21.675437-07:00	The-Song-of-Hiawatha_19	GITenberg	2016-07-26T23:50:37Z	0.0.2	3	147627726	passed	True	True	True	2016-08-03T18:44:21.675416-07:00
20	2016-08-03T18:44:21.675478-07:00	Paradise-Lost_20	GITenberg	2016-07-27T20:40:09Z	0.1.0	3	147865743	passed	True	True	True	2016-08-03T18:44:21.675457-07:00
21	2016-08-07T14:31:04.029726-07:00	Aesop-s-Fables--13-Translated-by-George-Fyler-Townsend_21	GITenberg	2016-08-05T18:31:28.734765-07:00	0.1.0	3	150206587	passed	True	True	True	2016-08-04T08:55:44.085395-07:00
22	2016-08-07T14:31:07.224164-07:00	Roget-s-Thesaurus_22	GITenberg	2016-08-05T18:31:34.363648-07:00	0.1.0	3	150206598	passed	True	True	True	2016-08-04T08:55:46.343072-07:00
23	2016-08-03T18:44:21.675517-07:00	Narrative-of-the-Life-of-Frederick-Douglass-an-American-Slave_23	GITenberg	2016-07-27T21:41:06Z	0.2.1	3	147880402	passed	True	True	True	2016-08-03T18:44:21.675497-07:00
24	2016-08-07T14:31:10.005245-07:00	O-Pioneers-_24	GITenberg	2016-08-05T18:31:41.054474-07:00	0.1.0	3	150206632	passed	True	True	True	2016-08-04T08:55:50.132707-07:00
25	2016-08-07T14:31:12.762844-07:00	The-1991-CIA-World-Factbook_25	GITenberg	2016-08-05T18:32:32.036538-07:00	0.1.0	3	150206770	passed	True	True	True	2016-08-04T08:56:16.987570-07:00
26	2016-08-07T14:31:16.667682-07:00	Paradise-Lost_26	GITenberg	2016-08-05T18:32:38.575275-07:00	0.1.0	3	150206774	passed	True	True	True	2016-08-04T08:56:20.175789-07:00
27	2016-08-03T18:44:21.675557-07:00	Far-from-the-Madding-Crowd_27	GITenberg	2016-07-27T18:01:17Z	0.1.0	3	147825707	passed	True	True	True	2016-08-03T18:44:21.675536-07:00
